reelId;userId;videoUrl;caption;likesCount;createdAt
r001;u001;https://cdn.example.com/reels/danang-beach.mp4;Biển Đà Nẵng lúc hoàng hôn 🌅;145;2025-02-01T14:00:00Z
r002;u005;https://cdn.example.com/reels/sapa-trekking.mp4;Chinh phục đỉnh Fansipan trong sương mù! Cảm giác thật tuyệt vời. #trekking #adventure;850;2025-02-15T09:30:00Z
r003;u009;https://cdn.example.com/reels/hanoi-streetfood.mp4;Phở cuốn Hàng Buồm - món ăn đường phố phải thử ở Hà Nội 🍜 #streetfood #hanoi;1200;2025-03-01T18:45:00Z
r004;u013;https://cdn.example.com/reels/halong-kayak.mp4;Chèo kayak giữa Vịnh Hạ Long, vẻ đẹp hùng vĩ của thiên nhiên. #halongbay #nature #photography;95;2025-03-10T11:20:00Z
r005;u015;https://cdn.example.com/reels/saigon-hostel.mp4;Review hostel 50k/đêm ở Quận 1, Sài Gòn. Quá ổn cho dân #backpacking! #cheap #saigon;2500;2025-03-25T21:05:00Z
r006;u017;https://cdn.example.com/reels/phuquoc-resort.mp4;Villa riêng có hồ bơi vô cực ở Phú Quốc. Nơi lý tưởng để #relax và #luxury. 🏖️;510;2025-04-05T15:00:00Z
r007;u019;https://cdn.example.com/reels/hue-citadel.mp4;Dạo bước trong Đại Nội Huế, cảm nhận lịch sử #architecture và #history. #hue;320;2025-04-15T10:10:00Z
r008;u021;https://cdn.example.com/reels/dalat-fairytale.mp4;Khu vui chơi cho bé ở Đà Lạt, cả nhà #family đều thích mê! #kids #dalat;780;2025-04-28T14:55:00Z
r009;u025;https://cdn.example.com/reels/hcmc-cafe.mp4;Quán cà phê yên tĩnh, wifi mạnh cho #digitalnomad ở Quận 3. #work #cafe;450;2025-05-18T16:30:00Z
r010;u027;https://cdn.example.com/reels/nhatrang-diving.mp4;Lần đầu #diving ở Hòn Mun, Nha Trang. San hô siêu đẹp! 🐠 #beach #snorkeling;620;2025-05-27T12:00:00Z
r011;u029;https://cdn.example.com/reels/hagiang-pass.mp4;Cung đường đèo Mã Pí Lèng - thách thức cho #solo #adventure. #mountain;180;2025-06-08T07:15:00Z
