serviceId;title;category;location;price;rating;description;images;features;availability
SVC0001;Khách sạn Sunrise Đà Lạt;Hotel;{"city":"Đà Lạt","province":"Lâm Đồng","address":"123 Đường Trần Phú","latitude":11.9404,"longitude":108.4583};800000;4.7;Khách sạn sang trọng với view hồ tuyệt đẹp...;["https://images.unsplash.com/photo-1542314831-068cd1dbfeeb?w=800","https://images.unsplash.com/photo-1611892440504-42a792e24d32?w=800"];undefined;undefined
SVC0002;Tour Phú Quốc 3N2Đ;Tour;{"city":"Phú Quốc","province":"Kiên Giang","address":"Bãi Trường","latitude":10.2898,"longitude":103.984};3500000;4.8;Khám phá thiên đường biển...;["https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=800","https://images.unsplash.com/photo-1506953823976-52e1fdc0149a?w=800"];undefined;undefined
SVC0003;Nhà hàng Hải Sản Biển Đông;Restaurant;{"city":"Nha Trang","province":"Khánh Hòa","address":"456 Trần Phú","latitude":12.2388,"longitude":109.1967};500000;4.5;Nhà hàng hải sản tươi sống...;["https://images.unsplash.com/photo-1559339352-11d035aa65de?w=800","https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?w=800"];undefined;undefined
SVC0004;Resort 5 Sao Hội An;Hotel;{"city":"Hội An","province":"Quảng Nam","address":"Cửa Đại","latitude":15.8801,"longitude":108.338};2500000;4.9;Resort cao cấp bên bờ biển...;["https://images.unsplash.com/photo-1571896349842-33c89424de2d?w=800","https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800"];undefined;undefined
SVC0005;Tour Sapa 4N3Đ;Tour;{"city":"Sa Pa","province":"Lào Cai","address":"Thị trấn Sa Pa","latitude":22.3364,"longitude":103.8438};4200000;4.6;Hành trình khám phá Sapa...;["https://images.unsplash.com/photo-1583417319070-4a69db38a482?w=800","https://images.unsplash.com/photo-1528127269322-539801943592?w=800"];undefined;undefined
SVC0006;Vé máy bay Quy Nhơn → Hạ Long - Vietjet Air;Flight;{"city":"Đà Nẵng","province":"New York","address":"787 Franecki Way","latitude":10.1979,"longitude":109.0652};14027435;3.676491662880194;Dịch vụ flight đẳng cấp tại Đà Nẵng. Trans vergo creta sufficio animi ubi crux territo. Quisquam quidem venustas ex angustus dolores alias.;["https://images.unsplash.com/photo-1436491865332-7a61a109cc05?w=800","https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800"];undefined;undefined
SVC0007;Tour Huế 3N3Đ - Modern Plastic Tuna;Tour;{"city":"Huế","province":"South Carolina","address":"447 Branson Glens","latitude":21.0584,"longitude":105.2417};8985222;3.6873092544994117;Dịch vụ tour đẳng cấp tại Huế. Demonstro tabgo tantum capillus bellum. Aegrotatio angustus terror paulatim cenaculum depulso summisse.;["https://images.unsplash.com/photo-1583417319070-4a69db38a482?w=800","https://images.unsplash.com/photo-1501785888041-af3ef285b470?w=800","https://images.unsplash.com/photo-1506953823976-52e1fdc0149a?w=800"];undefined;undefined
SVC0008;Vé máy bay Pleiku → Cà Mau - Vietjet Air;Flight;{"city":"Phan Thiết","province":"Nevada","address":"916 Esperanza Knolls","latitude":22.0339,"longitude":105.0482};4854820;4.6890172170147535;Dịch vụ flight đẳng cấp tại Phan Thiết. Audio patria tibi taceo comptus defleo attero spes at optio. Ubi capillus eveniet voluptatibus denuo vorax vitiosus succedo depulso.;["https://images.unsplash.com/photo-1436491865332-7a61a109cc05?w=800","https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800"];undefined;undefined
SVC0009;Boutique Resort Huế;Hotel;{"city":"Huế","province":"Arkansas","address":"28735 Emmanuelle Mall","latitude":9.7526,"longitude":108.7443};1819116;4.554236818660426;Dịch vụ hotel đẳng cấp tại Huế. Pecto solio aeneus nulla voluptates beatus. Virga sollicito tactus conscendo damno acidus vetus.;["https://images.unsplash.com/photo-1611892440504-42a792e24d32?w=800","https://images.unsplash.com/photo-1542314831-068cd1dbfeeb?w=800"];undefined;undefined
SVC0010;View Đẹp Homestay Đà Lạt;Hotel;{"city":"Đà Lạt","province":"Michigan","address":"222 S 8th Street","latitude":10.8774,"longitude":103.9243};4662510;4.422365443574939;Dịch vụ hotel đẳng cấp tại Đà Lạt. Solus eveniet suscipit damno deludo. Infit cervus averto suspendo adhaero.;["https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800","https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800","https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800"];undefined;undefined
