reviewId;serviceId;userId;rating;comment;createdAt
rev001;s001;u001;5;Phòng sạch, view đẹp, nhân viên thân thiện!;2025-02-03T12:45:00Z
rev002;s003;u005;5;Du thuyền sang trọng, dịch vụ xuất sắc! Chèo kayak rất vui.;2025-03-15T10:00:00Z
rev003;s002;u007;4;Tour Bà Nà Hills ổn, nhưng hơi đông khách vào cuối tuần.;2025-02-28T16:30:00Z
rev004;s004;u009;4;Khách sạn ngay trung tâm, tiện đi ăn uống. Phòng hơi nhỏ.;2025-03-05T09:15:00Z
rev005;s005;u011;5;Xe đưa đón sân bay rất chuyên nghiệp, đúng giờ.;2025-04-01T14:20:00Z
rev006;s006;u013;5;Resort tuyệt vời cho nhiếp ảnh, hồ bơi riêng rất chill.;2025-04-18T11:00:00Z
rev007;s008;u015;4;Tour Sapa trekking hợp lý về giá, homestay sạch sẽ.;2025-04-25T17:50:00Z
rev008;s010;u017;5;Dịch vụ 5 sao hoàn hảo, xứng đáng với giá tiền.;2025-05-10T20:30:00Z
rev009;s012;u019;3;Khách sạn cũ, cần cải tạo. View biển là điểm cộng.;2025-05-25T11:10:00Z
rev010;s014;u021;5;Căn hộ có bếp tiện lợi cho gia đình có trẻ nhỏ.;2025-06-03T13:45:00Z
rev011;s016;u025;4;Xe riêng đi Củ Chi thoải mái, tài xế thân thiện.;2025-06-18T08:00:00Z
rev012;s017;u027;5;Thiết kế khách sạn độc đáo, vị trí trung tâm Sài Gòn.;2025-07-01T21:40:00Z
rev013;s018;u029;4;Tour lặn biển Phú Quốc ổn, nhưng tàu hơi đông.;2025-07-15T10:55:00Z
rev014;s020;u031;5;Homestay Pù Luông cực phẩm, view săn mây quá đẹp!;2025-08-01T16:15:00Z
rev015;s022;u033;5;Khách sạn cổ kính và sang trọng bậc nhất Hà Nội. Dịch vụ hoàn hảo.;2025-08-18T19:00:00Z
rev016;s023;u035;4;Trải nghiệm Canyoning Đà Lạt rất đã! Dành cho người thích #adventure.;2025-09-05T12:25:00Z
rev017;s024;u037;3;Khách sạn Vũng Tàu bình thường, không có gì nổi bật. Giá hơi cao.;2025-09-20T10:40:00Z
rev018;s026;u039;5;Tour xe máy đi Mỹ Sơn rất thú vị, cảnh đẹp, không khí trong lành.;2025-10-05T14:00:00Z
rev019;s027;u040;5;Resort Đà Nẵng sang trọng, bãi biển riêng sạch sẽ.;2025-10-22T17:30:00Z
rev020;s029;u042;5;Leo Fansipan 3 ngày 2 đêm là một thử thách đáng giá! Hướng dẫn viên nhiệt tình.;2025-11-10T15:00:00Z
rev021;s030;u044;4;Tour Jeep đồi cát Mũi Né đẹp, nhưng tài xế hơi vội.;2025-11-28T05:30:00Z
rev022;s032;u046;5;The Reverie Saigon - đỉnh cao của sự xa hoa! Nội thất lộng lẫy.;2025-12-15T22:00:00Z
rev023;s033;u048;4;Tham quan Động Phong Nha bằng thuyền rất đẹp, hùng vĩ.;2026-01-01T10:15:00Z
rev024;s035;u049;5;Lớp học nấu ăn Hội An vui, học được nhiều món ngon. Rất thích hợp cho #family.;2026-01-28T16:00:00Z
rev025;s037;u050;4;Resort Hội An ven sông, yên tĩnh. Phòng hơi cũ.;2026-02-15T11:40:00Z
rev026;s038;u052;5;Xe riêng đi Đèo Hải Vân, cảnh đẹp kinh ngạc! Lái xe an toàn.;2026-03-05T09:00:00Z
rev027;s040;u054;4;Khách sạn Vũng Tàu sạch sẽ, view biển Bãi Sau. Hồ bơi hơi nhỏ.;2026-03-22T14:30:00Z
rev028;s042;u055;5;Six Senses Ninh Vân Bay - thiên đường có thật! Trải nghiệm 10/10.;2026-04-10T18:00:00Z
rev029;s044;u057;3;Tour xích lô Hà Nội hơi chậm, nhưng thú vị để ngắm phố cổ.;2026-04-28T10:00:00Z
rev030;s046;u059;5;Taxi Đà Nẵng - Hội An giá tốt, tài xế vui vẻ.;2026-05-15T08:15:00Z
