itineraryId;userId;destination;travelProfile;schedule;isSaved;createdAt
i001;u001;Đà Nẵng;"{""people"":2,""budget"":""Trung bình"",""interests"":[""beach"",""food""]}";"[{""day"":1,""title"":""Khám phá biển Mỹ Khê"",""activities"":[""Tắm biển"",""Ăn hải sản"",""Cafe ngắm hoàng hôn""]},{""day"":2,""title"":""Bà Nà Hills"",""activities"":[""Cầu Vàng"",""Fantasy Park""]}]";TRUE;2025-02-02T09:00:00Z
i002;u005;Hà Giang;"{""people"":1,""budget"":""Cao"",""interests"":[""trekking"",""mountain"",""adventure""]}";"[{""day"":1,""title"":""Hà Giang Loop - Đồng Văn"",""activities"":[""Thuê xe máy"",""Phượt Quản Bạ"",""Ngủ đêm Đồng Văn""]},{""day"":2,""title"":""Mã Pí Lèng"",""activities"":[""Chinh phục Mã Pí Lèng"",""Ngắm sông Nho Quế""]},{""day"":3,""title"":""Thăm Dinh Vua Mèo"",""activities"":[""Dinh Vua Mèo"",""Chợ phiên""]}]";TRUE;2025-02-16T15:30:00Z
i003;u009;TP.HCM;"{""people"":3,""budget"":""Thấp"",""interests"":[""food"",""streetfood""]}";"[{""day"":1,""title"":""Ẩm thực Q.1 và Q.3"",""activities"":[""Phở Lệ"",""Bánh mì Huỳnh Hoa"",""Chè khúc bạch""]},{""day"":2,""title"":""Chợ Bến Thành và ăn vặt"",""activities"":[""Tham quan Bến Thành"",""Ăn cơm tấm"",""Khám phá chợ đêm""]}]";TRUE;2025-03-05T09:15:00Z
i004;u013;Vịnh Hạ Long;"{""people"":1,""budget"":""Trung bình"",""interests"":[""photography"",""nature""]}";"[{""day"":1,""title"":""Du thuyền Vịnh"",""activities"":[""Check-in du thuyền"",""Chèo kayak Hang Luồn"",""Ngắm hoàng hôn""]},{""day"":2,""title"":""Hang Sửng Sốt"",""activities"":[""Tham quan hang động"",""Tắm biển trên Vịnh""]}]";TRUE;2025-03-16T11:20:00Z
i005;u017;Phú Quốc;"{""people"":2,""budget"":""Cao"",""interests"":[""relax"",""spa"",""luxury""]}";"[{""day"":1,""title"":""Nghỉ dưỡng resort"",""activities"":[""Check-in resort 5 sao"",""Spa trị liệu"",""Bơi vô cực""]},{""day"":2,""title"":""Bãi Sao"",""activities"":[""Tắm biển Bãi Sao"",""Ăn hải sản""]},{""day"":3,""title"":""Sunset Sanato"",""activities"":[""Ngắm hoàng hôn"",""Dịch vụ phòng""]}]";TRUE;2025-04-06T15:00:00Z
i006;u021;Đà Lạt;"{""people"":4,""budget"":""Trung bình"",""interests"":[""family"",""kids""]}";"[{""day"":1,""title"":""Vui chơi Datanla"",""activities"":[""Trượt máng"",""Datanla Canyon (tham quan)"",""Hồ Xuân Hương""]},{""day"":2,""title"":""Thung lũng Tình Yêu"",""activities"":[""Vườn hoa"",""Cà phê""]}]";TRUE;2025-04-29T14:55:00Z
i007;u027;Nha Trang;"{""people"":2,""budget"":""Cao"",""interests"":[""beach"",""diving""]}";"[{""day"":1,""title"":""Hòn Mun và lặn biển"",""activities"":[""Lặn biển Hòn Mun"",""Tắm nắng"",""Ăn tối hải sản""]},{""day"":2,""title"":""VinWonders"",""activities"":[""Chơi VinWonders"",""Cáp treo""]}]";TRUE;2025-05-28T12:00:00Z
i008;u031;Hội An;"{""people"":1,""budget"":""Cao"",""interests"":[""yoga"",""wellness""]}";"[{""day"":1,""title"":""Yên tĩnh ven sông"",""activities"":[""Check-in resort yên tĩnh"",""Lớp Yoga sáng"",""Đạp xe làng rau Trà Quế""]},{""day"":2,""title"":""Phố cổ buổi sáng"",""activities"":[""Thiền sớm"",""Cafe phố cổ"",""Shopping lụa""]}]";TRUE;2025-06-16T08:00:00Z
i009;u035;Cần Thơ;"{""people"":2,""budget"":""Trung bình"",""interests"":[""roadtrip"",""phuot""]}";"[{""day"":1,""title"":""Roadtrip Sài Gòn - Cần Thơ"",""activities"":[""Thuê xe tự lái"",""Check-in cầu Mỹ Thuận"",""Dạo bến Ninh Kiều""]},{""day"":2,""title"":""Chợ nổi Cái Răng"",""activities"":[""Thăm chợ nổi"",""Ăn sáng trên sông"",""Thăm vườn trái cây""]}]";TRUE;2025-07-06T11:00:00Z
i010;u039;Hà Nội;"{""people"":2,""budget"":""Cao"",""interests"":[""architecture"",""design"",""history""]}";"[{""day"":1,""title"":""Kiến trúc Pháp"",""activities"":[""Nhà Thờ Lớn"",""Phủ Chủ Tịch"",""Nhà Hát Lớn""]},{""day"":2,""title"":""Lịch sử và Văn hóa"",""activities"":[""Hoàng Thành Thăng Long"",""Bảo tàng Dân tộc học""]}]";TRUE;2025-07-28T22:00:00Z
