serviceId;providerId;name;category;lat;lng;city;address;description;galleryUrls;priceFrom;ratingAverage;amenities;
s101;u010;Can Tho City Tour by Boat and Car;Tour;100.333;1.057.892;Cần Thơ;Ninh Kieu Wharf;Tham quan chợ nổi, miệt vườn, và nhà cổ Bình Thủy.;https://cdn.example.com/tours/s101/1.jpg;850000;4.6;"Thuyền;Xe máy;Lunch";
s102;u001;Pullman Hanoi;Hotel;210.285;1.058.548;Hà Nội;Cat Linh St;Khách sạn 5 sao với thiết kế hiện đại, gần trung tâm.;https://cdn.example.com/hotels/s102/img1.jpg;2000000;4.5;"Hồ bơi;Gym;Business Center";
s103;u002;Da Nang Museum of Cham Sculpture Ticket;Experience;160.645;1.082.177;Đà Nẵng;2 Thang 9 St;Vé vào cửa bảo tàng lưu giữ hiện vật Chăm Pa.;https://cdn.example.com/exp/s103/1.jpg;60000;4.4;"Vé vào cửa;Audio Guide";
s104;u003;Nha Trang City Tour Half Day;Tour;122.333;1.091.966;Nha Trang;City Center;Tham quan Tháp Bà Ponagar, Hòn Chồng, Chùa Long Sơn.;https://cdn.example.com/tours/s104/1.jpg;350000;4.5;"Xe bus;Hướng dẫn viên;Nước suối";
s105;u004;Phu Quoc Motorbike Rental;Car;102.241;1.039.575;Phú Quốc;Duong Dong Town;Thuê xe máy khám phá Bắc và Nam Đảo.;https://cdn.example.com/cars/s105/1.jpg;180000;4.4;"Xe tay ga;Mũ bảo hiểm";
s106;u005;The Cliff Resort & Residences;Hotel;109.333;1.082.833;Phan Thiết;Phan Thiet Beach;Resort cao cấp, view biển trên vách đá.;https://cdn.example.com/hotels/s106/img1.jpg;2300000;4.7;"Bể bơi vô cực;Spa;Bãi biển riêng";
s107;u006;Hoi An Silk Village Workshop;Experience;158.791;1.083.283;Hội An;Nguyen Tat Thanh St;Tìm hiểu quy trình nuôi tằm, dệt lụa truyền thống.;https://cdn.example.com/exp/s107/1.jpg;100000;4.3;"Hướng dẫn;Mua sắm lụa";
s108;u007;Sapa Fansipan Cable Car Ticket;Tour;223.392;1.038.580;Sapa;Hoang Lien Son;Vé cáp treo khứ hồi lên đỉnh Fansipan.;https://cdn.example.com/tours/s108/1.jpg;800000;4.8;"Vé cáp treo;Ngắm cảnh";
s109;u008;Ho Chi Minh City Hop-on Hop-off Bus;Tour;107.500;1.066.667;TP.HCM;District 1;Tour xe buýt hai tầng tham quan các điểm nổi bật.;https://cdn.example.com/tours/s109/1.jpg;250000;4.4;"Vé 24h;Tai nghe thuyết minh";
s110;u009;Dalanta Waterfall Alpine Coaster Ticket;Experience;118.900;1.084.000;Đà Lạt;Datanla Waterfall;Vé trượt máng Alpine Coaster khứ hồi.;https://cdn.example.com/exp/s110/1.jpg;200000;4.6;"Vé trượt máng;Ngắm thác";
